,0
485,"title:Anaerobic digestion of recalcitrant textile dyeing sludge with alternative pretreatment strategies,abstract:Bioresource Technology, 222 (2016) 252-260. doi:10.1016/j.biortech.2016.09.098"
486,"title:Anaerobic digestion of recycled paper crumb and effects of digestate on concrete performance,abstract:Renewable Energy, 208 (2023) 577-582. doi:10.1016/j.renene.2023.03.061"
487,"title:Anaerobic digestion of rice straw pretreatment liquor without detoxification for continuous biogas production using a 100 L internal circulation reactor,abstract:Journal of Cleaner Production, 349 (2022) 131450. doi:10.1016/j.jclepro.2022.131450"
488,"title:Anaerobic digestion of saline waste activated sludge and recovering raw sulfated polysaccharides,abstract:Bioresource Technology, 335 (2021) 125255. doi:10.1016/j.biortech.2021.125255"
489,"title:Anaerobic digestion of saline waste activated sludge and recovering raw sulfated polysaccharides,abstract:Bioresource Technology, 335 (2021) 125255. doi:10.1016/j.biortech.2021.125255"
490,"title:Anaerobic digestion of seven different sewage sludges: A biodegradability and modelling study,abstract:Water Research, 47 (2013) 6033-6043. doi:10.1016/j.watres.2013.07.019"
491,"title:Anaerobic digestion of solid agroindustrial waste in semi-continuous mode: Evaluation of mono-digestion and co-digestion systems,abstract:Waste Management, 68 (2017) 103-119. doi:10.1016/j.wasman.2017.06.026"
492,"title:Anaerobic digestion of spent mushroom substrate under thermophilic conditions: performance and microbial community analysis,abstract:Appl Microbiol Biotechnol, doi:10.1007/s00253-017-8578-9"
493,"title:Anaerobic digestion of spring and winter wheat: Comparison of net energy yields,abstract:Journal of Environmental Science and Health, Part A, 2016. doi:10.1080/10934529.2016.1198634"
494,"title:Anaerobic digestion of straw and corn stover: The effect of biological process optimization and pre-treatment on total bio-methane yield and energy performance,abstract:Biotechnology Advances, 34 (2016) 1289-1304. doi:10.1016/j.biotechadv.2016.09.004"
495,"title:Anaerobic digestion of submerged macrophytes: Chemical composition and anaerobic digestibility,abstract:Ecological Engineering, 69 (2014) 304-309. doi:10.1016/j.ecoleng.2014.05.013"
496,"title:Anaerobic digestion of sugarcane bagasse for biogas production and digestate valorization,abstract:Chemosphere, 295 (2022) 133893. doi:10.1016/j.chemosphere.2022.133893"
497,"title:Anaerobic digestion of sulfate-acidified cattle slurry: One-stage vs. two-stage,abstract:Journal of Environmental Management , 173 (2016) 127-133. doi:10.1016/j.jenvman.2016.02.039"
498,"title:Anaerobic digestion of surfactant and lipid co-existing organic waste_ Focusing on the antagonistic enhancement,abstract:Chemical Engineering Journal, 371 (2019) 96-106. doi:10.1016/j.cej.2019.04.033"
499,"title:Anaerobic digestion of tuna waste for the production of volatile fatty acids,abstract:Waste Management, 68 (2017) 96-102. doi:10.1016/j.wasman.2017.06.010"
500,"title:Anaerobic digestion of tuna waste for the production of volatile fatty acids,abstract:Waste Management, 68 (2017) 96-102. doi:10.1016/j.wasman.2017.06.010"
501,"title:Anaerobic digestion of vinasse from sugarcane biorefineries in Brazil from energy, environmental, and economic perspectives: Profit or expense?,abstract:Applied Energy, 113 (2014) 825-835. doi:10.1016/j.apenergy.2013.07.018"
502,"title:Anaerobic digestion of vinasse from sugarcane ethanol production in Brazil_ Challenges and perspectives,abstract:Renewable and Sustainable Energy Reviews, 44 + (2015) 888-903. doi:10.1016/j.rser.2015.01.023"
503,"title:Anaerobic digestion of wastewater from the production of bleached chemical thermo‐mechanical pulp – higher methane production for hardwood than softwood,abstract:J of Chemical Tech & Biotech 2017.92:140-151"
504,"title:Anaerobic digestion of wastewater generated from the hydrothermal liquefaction of Spirulina: Toxicity assessment and minimization,abstract:Energy Conversion and Management, 141 (2017) 420-428. doi:10.1016/j.enconman.2016.10.034"
505,"title:Anaerobic digestion of wheat straw – Performance of continuous solid-state digestion,abstract:Bioresource Technology, 146 (2013) 408-415. doi:10.1016/j.biortech.2013.07.101"
506,"title:Anaerobic digestion performance and microbial community structure of corn stover in three-stage continuously stirred tank reactors,abstract:Bioresource Technology, 287 (2019) 121339. doi:10.1016/j.biortech.2019.121339"
507,"title:Anaerobic digestion/co-digestion kinetic potentials of different agro-industrial wastes: A comparative batch study for C/N optimisation,abstract:Waste Management, 71 (2018) 663-674. doi:10.1016/j.wasman.2017.08.014"
508,"title:Anaerobic digestion/co-digestion kinetic potentials of different agro-industrial wastes: A comparative batch study for C/N optimisation,abstract:Waste Management, 71 (2018) 663-674. doi:10.1016/j.wasman.2017.08.014"
509,"title:Anaerobically digested brewery effluent as a medium for hydroponic crop production - The influence of algal ponds and pH,abstract:Journal of Cleaner Production, 139 (2016) 167-174. doi:10.1016/j.jclepro.2016.07.189"
510,"title:Analysis for microbial denitrification and antibiotic resistance during anaerobic digestion of cattle manure containing antibiotic,abstract:Bioresource Technology, 291 (2019) 121803. doi:10.1016/j.biortech.2019.121803"
511,"title:Analysis of a bio-electrochemical reactor containing carbon fiber textiles for the anaerobic digestion of tomato plant residues,abstract:Bioresource Technology, 249 (2018) 809-817. doi:10.1016/j.biortech.2017.09.206"
512,"title:Analysis of bacterial communities and bacterial pathogens in a biogas plant by the combination of ethidium monoazide, PCR and Ion Torrent sequencing,abstract:Water Research, 60 (2014) 156-163. doi:10.1016/j.watres.2014.04.047"
513,"title:Analysis of MSW full-scale facilities based on anaerobic digestion and/or composting using respiration indices as performance indicators,abstract:Bioresource Technology, 236 (2017) 87-96. doi:10.1016/j.biortech.2017.03.172"
514,"title:Analysis of the extrusion as a pretreatment for the anaerobic digestion process,abstract:Industrial Crops & Products, 83 (2016) 206-212. doi:10.1016/j.indcrop.2015.12.044"
515,"title:Antibiotic removal potential for low greenhouse gas emission process of anaerobic digestion (AD) producing volatile fatty acids (VFAs),abstract:Bioresource Technology, 360 (2022) 127540. doi:10.1016/j.biortech.2022.127540"
516,"title:Application of ADM1 for modeling of biogas production from anaerobic digestion of Hydrilla verticillata,abstract:BIORESOURCE TECHNOLOGY, 211 (2016) 101-107. doi:10.1016/j.biortech.2016.03.002"
517,"title:Application of ADM1 for modeling of biogas production from anaerobic digestion of Hydrilla verticillata,abstract:BIORESOURCE TECHNOLOGY, 211 (2016) 101-107. doi:10.1016/j.biortech.2016.03.002"
518,"title:Application of Anaerobic Digestion Model No. 1 for simulating anaerobic mesophilic sludge digestion,abstract:Waste Management, 35 (2015) 89-95. doi:10.1016/j.wasman.2014.10.013"
519,"title:Application of Anaerobic Digestion Model No. 1 for simulating anaerobic mesophilic sludge digestion,abstract:Waste Management, 35 (2015) 89-95. doi:10.1016/j.wasman.2014.10.013"
520,"title:Application of Anaerobic Digestion Model No. 1 to describe the syntrophic acetate oxidation of poultry litter in thermophilic anaerobic digestion,abstract:BIORESOURCE TECHNOLOGY, 167 (2014) 495-502. doi:10.1016/j.biortech.2014.06.008"
521,"title:Application of Anaerobic Digestion Model No. 1 to describe the syntrophic acetate oxidation of poultry litter in thermophilic anaerobic digestion,abstract:BIORESOURCE TECHNOLOGY, 167 (2014) 495-502. doi:10.1016/j.biortech.2014.06.008"
522,"title:Application of Anaerobic Digestion Model No. 1 for modeling anaerobic digestion of vegetable crop residues: Fractionation of crystalline cellulose,abstract:Journal of Cleaner Production, 285 (2021) 124865. doi:10.1016/j.jclepro.2020.124865"
523,"title:Application of data smoothing and principal component analysis to develop a parameter ranking system for the anaerobic digestion process,abstract:Chemosphere, 299 (2022) 134444. doi:10.1016/j.chemosphere.2022.134444"
524,"title:Application of data smoothing and principal component analysis to develop a parameter ranking system for the anaerobic digestion process,abstract:Chemosphere, 299 (2022) 134444. doi:10.1016/j.chemosphere.2022.134444"
525,"title:Application of eco-compatible biochar in anaerobic digestion to relieve acid stress and promote the selective colonization of functional microbes,abstract:Water Research, 68 (2015) 710-718. doi:10.1016/j.watres.2014.10.052"
526,"title:Application of machine learning in anaerobic digestion: Perspectives and challenges,abstract:Bioresource Technology, 345 (2022) 126433. doi:10.1016/j.biortech.2021.126433"
527,"title:Application of nanomaterials in anaerobic digestion processes: A new strategy towards sustainable methane production,abstract:Biochemical Engineering Journal, 188 (2022) 108694. doi:10.1016/j.bej.2022.108694"
528,"title:Application of nanomaterials in anaerobic digestion processes: A new strategy towards sustainable methane production,abstract:Biochemical Engineering Journal, 188 (2022) 108694. doi:10.1016/j.bej.2022.108694"
529,"title:Application of nanoscale zero valent iron and iron powder during sludge anaerobic digestion: Impact on methane yield and pharmaceutical and personal care products degradation,abstract:Journal of Hazardous Materials, 321 (2017) 47-53. doi:10.1016/j.jhazmat.2016.08.076"
530,"title:Application of nanoscale zero valent iron and iron powder during sludge anaerobic digestion: Impact on methane yield and pharmaceutical and personal care products degradation,abstract:Journal of Hazardous Materials, 321 (2017) 47-53. doi:10.1016/j.jhazmat.2016.08.076"
531,"title:Application of next-generation sequencing methods for microbial monitoring of anaerobic digestion of lignocellulosic biomass,abstract:Appl Microbiol Biotechnol, doi:10.1007/s00253-017-8438-7"
532,"title:Applying a chemical equilibrium model for optimizing struvite precipitation for ammonium recovery from anaerobic digester effluent,abstract:Journal of Cleaner Production, 147 (2017) 297-305. doi:10.1016/j.jclepro.2017.01.116"
533,"title:Approaches for adding value to anaerobically digested dairy fiber,abstract:Renewable and Sustainable Energy Reviews, 72 (2017) 254-268. doi:10.1016/j.rser.2017.01.054"
534,"title:Arsenic accumulation and volatilization in a 260-day cultured upflow anaerobic sludge blanket (UASB) reactor,abstract:Chemical Engineering Journal, 311 (2017) 277-283. doi:10.1016/j.cej.2016.11.097"
535,"title:Arsenic Transformation in Swine Wastewater with Low-Arsenic Content during Anaerobic Digestion,abstract:In this study, the raw wastewater (RW), and effluents from the acidogenic phase (AP) and methanogenic phase (MP) in a swine wastewater treatment plant were collected to investigate the occurrence and transformation of arsenic (As), as well as the abundance of As metabolism genes during the anaerobic digestion (AD) process. The results showed that total concentrations of As generally decreased by 33–71% after AD. Further analysis showed that the As species of the dissolved fractions were present mainly as dimethylarsinic acid (DMA), with arsenite (As(III)) and arsenate (As(V)) as the minor species. Moreover, real-time PCR (qPCR) results showed that As metabolism genes (arsC, arsenate reduction gene; aioA, arsenite oxidation gene and arsM, arsenite methylation gene) were highly abundant, with arsM being predominant among the metabolism genes. This study provides reliable evidence on As biotransformation in swine wastewater treatment process, suggesting that AD could be a valuable treatment to mitigate the risk of As in wastewater."
536,"title:Asparagus stem as a new lignocellulosic biomass feedstock for anaerobic digestion: Increasing hydrolysis rate, methane production and biodegradability by alkaline pretreatment,abstract:Bioresource Technology, 164 (2014) 78-85. doi:10.1016/j.biortech.2014.04.070"
537,"title:Assessing labelled carbon assimilation from poly butylene adipate-co-terephthalate (PBAT) monomers during thermophilic anaerobic digestion,abstract:Bioresource Technology, 385 (2023) 129430. doi:10.1016/j.biortech.2023.129430"
538,"title:Assessing the integration of forward osmosis and anaerobic digestion for simultaneous wastewater treatment and resource recovery,abstract:Bioresource Technology, 260 (2018) 221-226. doi:10.1016/j.biortech.2018.03.120"
539,"title:Assessment of biofertilizer quality and health implications of anaerobic digestion effluent of cow dung and chicken droppings,abstract:Renewable Energy, 63 (2014) 681-686. doi:10.1016/j.renene.2013.09.049"
540,"title:Assessment of by-products of bioenergy systems (anaerobic digestion and gasification) as potential crop nutrient,abstract:Waste Management, 59 (2017) 102-117. doi:10.1016/j.wasman.2016.10.018"
541,"title:Assessment of percolation through a solid leach bed in dry batch anaerobic digestion processes,abstract:Bioresource Technology, 178 (2015) 209-216. doi:10.1016/j.biortech.2014.10.017"
542,"title:Assessment of substrate biodegradability improvement in anaerobic Co-digestion using a chemometrics-based metabolomic approach,abstract:Chemosphere, 254 (2020) 126812. doi:10.1016/j.chemosphere.2020.126812"
543,"title:Assessment of two-phase olive mill solid waste and microalgae co-digestion to improve methane production and process kinetics,abstract:BIORESOURCE TECHNOLOGY, 157 (2014) 263-269. doi:10.1016/j.biortech.2014.01.096"
544,"title:Assuring the sustainable production of biogas from anaerobic mono-digestion,abstract:Journal of Cleaner Production, 72 (2014) 23-34. doi:10.1016/j.jclepro.2014.03.022"
545,"title:Assuring the sustainable production of biogas from anaerobic mono-digestion,abstract:Journal of Cleaner Production, 72 (2014) 23-34. doi:10.1016/j.jclepro.2014.03.022"
546,"title:Attapulgite enhances methane production from anaerobic digestion of pig slurry by changing enzyme activities and microbial community,abstract:Renewable Energy, 145 (2020) 222-232. doi:10.1016/j.renene.2019.06.037"
547,"title:Bacterial and methanogenic archaeal communities during the single-stage anaerobic digestion of high-strength food wastewater,abstract:BIORESOURCE TECHNOLOGY, Corrected proof. doi:10.1016/j.biortech.2014.02.028"
548,"title:Balancing acidogenesis and methanogenesis metabolism in thermophilic anaerobic digestion of food waste under a high loading rate,abstract:Science of the Total Environment, 824 (2022) 153867. doi:10.1016/j.scitotenv.2022.153867"
549,"title:Batch anaerobic digestion of deproteinated malt whisky pot ale using different source inocula,abstract:Waste Management, 71 (2018) 675-682. doi:10.1016/j.wasman.2017.06.025"
550,"title:Batch anaerobic digestion of synthetic military base food waste and cardboard mixtures,abstract:Bioresource Technology, 216 (2016) 894-903. doi:10.1016/j.biortech.2016.06.033"
551,"title:Batch anaerobic digestion of synthetic military base food waste and cardboard mixtures,abstract:Bioresource Technology, 216 (2016) 894-903. doi:10.1016/j.biortech.2016.06.033"
552,"title:Batch and semi-continuous anaerobic digestion of food waste in a dual solid–liquid system,abstract:Bioresource Technology, 145 (2013) 10-16. doi:10.1016/j.biortech.2013.03.030"
553,"title:Batchwise mesophilic anaerobic co-digestion of secondary sludge from pulp and paper industry and municipal sewage sludge,abstract:Waste Management, 33 (2013) 820-824. doi:10.1016/j.wasman.2012.11.002"
554,"title:Behaviour of emerging contaminants in sewage sludge after anaerobic digestion,abstract:Chemosphere, 163 (2016) 296-304. doi:10.1016/j.chemosphere.2016.07.098"
555,"title:Beneficial Microorganisms in the Anaerobic Digestion of Cattle and Swine Excreta,abstract:The accumulation of solid organic waste is reaching critical levels in almost all regions of the world. It must be managed sustainably to avoid the depletion of natural resources, minimize risks to human health, reduce environmental burdens, and maintain an overall balance in the ecosystem. This research focuses on the anaerobic digestion of bovine and swine excreta with and without applying beneficial microorganisms as a viable option for recycling agricultural solid wastes. Three greenhouse gases (GHGs)—methane, carbon dioxide, and ammonia—produced by cattle and swine excreta that were treated with and without beneficial microorganisms in bioreactors were quantified. A monitoring and gas concentration measurement system was implemented inside the bioreactors. The behavior of the GHGs and the efficiency of the beneficial microorganisms in treating the farm animal waste were analyzed according to the phases of anaerobic digestion. Average reductions in the concentration in units of ppm of CH4 during the composting process of 46.95% and 34.48% were observed for the cattle and swine excreta treatments, respectively. It was concluded that the studied GHGs had different behaviors in the anaerobic digestion of the treatments in cattle and swine excreta with and without beneficial microorganisms due to the different types of feeding. However, it must be emphasized that beneficial microorganisms are an essential tool for reducing GHGs in anaerobic digestion."
556,"title:Benefits of combining anaerobic digestion and amino acid extraction from microalgae,abstract:CHEMICAL ENGINEERING JOURNAL, 258 (2014) 1-9. doi:10.1016/j.cej.2014.07.086"
557,"title:Benefits of combining anaerobic digestion and amino acid extraction from microalgae,abstract:CHEMICAL ENGINEERING JOURNAL, 258 (2014) 1-9. doi:10.1016/j.cej.2014.07.086"
558,"title:Benzyl butyl phthalate activates prophage, threatening the stable operation of waste activated sludge anaerobic digestion,abstract:Science of the Total Environment, 768 (2021) 144470. doi:10.1016/j.scitotenv.2020.144470"
559,"title:Benzyl butyl phthalate activates prophage, threatening the stable operation of waste activated sludge anaerobic digestion,abstract:Science of the Total Environment, 768 (2021) 144470. doi:10.1016/j.scitotenv.2020.144470"
560,"title:Bio-based carbon materials with multiple functional groups and graphene structure to boost methane production from ethanol anaerobic digestion,abstract:Bioresource Technology, 344 (2022) 126353. doi:10.1016/j.biortech.2021.126353"
561,"title:Bio-electrochemically assisting low-temperature anaerobic digestion of low-organic strength wastewater,abstract:Chemical Engineering Journal, 335 (2018) 657-664. doi:10.1016/j.cej.2017.11.016"
562,"title:Bio-electrolytic sensor for rapid monitoring of volatile fatty acids in anaerobic digestion process,abstract:Water Research, 111 (2017) 74-80. doi:10.1016/j.watres.2016.12.045"
563,"title:Bio-energy conversion performance, biodegradability, and kinetic analysis of different fruit residues during discontinuous anaerobic digestion,abstract:Waste Management, 52 (2016) 295-301. doi:10.1016/j.wasman.2016.03.028"
564,"title:Bio-energy conversion performance, biodegradability, and kinetic analysis of different fruit residues during discontinuous anaerobic digestion,abstract:Waste Management, 52 (2016) 295-301. doi:10.1016/j.wasman.2016.03.028"
565,"title:Bioaccumulation of metals in ryegrass (Lolium perenne L.) following the application of lime stabilised, thermally dried and anaerobically digested sewage sludge,abstract:Ecotoxicology and Environmental Safety, 130 + (2016) 303-309. doi:10.1016/j.ecoenv.2016.04.026"
566,"title:Bioaugmentation of overloaded anaerobic digesters restores function and archaeal community,abstract:Water Research, 70 (2015) 138-147. doi:10.1016/j.watres.2014.11.037"
567,"title:Bioaugmentation of overloaded anaerobic digesters restores function and archaeal community,abstract:Water Research, 70 (2015) 138-147. doi:10.1016/j.watres.2014.11.037"
568,"title:Bioaugmentation with marine sediment-derived microbial consortia in mesophilic anaerobic digestion for enhancing methane production under ammonium or salinity stress,abstract:Bioresource Technology, 376 (2023) 128853. doi:10.1016/j.biortech.2023.128853"
569,"title:Bioaugmentation with Tetrasphaera to improve biological phosphorus removal from anaerobic digestate of swine wastewater,abstract:Bioresource Technology, 373 (2023) 128744. doi:10.1016/j.biortech.2023.128744"
570,"title:Biochar application as sustainable precursors for enhanced anaerobic digestion: A systematic review,abstract:Journal of Environmental Chemical Engineering, 9 (2021) 105489. doi:10.1016/j.jece.2021.105489"
571,"title:Biochar application as sustainable precursors for enhanced anaerobic digestion: A systematic review,abstract:Journal of Environmental Chemical Engineering, 9 (2021) 105489. doi:10.1016/j.jece.2021.105489"
572,"title:Biochar enables anaerobic digestion of aqueous phase from intermediate pyrolysis of biomass,abstract:BIORESOURCE TECHNOLOGY, 172 (2014) 335-341. doi:10.1016/j.biortech.2014.09.021"
573,"title:Biochar enables anaerobic digestion of aqueous phase from intermediate pyrolysis of biomass,abstract:BIORESOURCE TECHNOLOGY, 172 (2014) 335-341. doi:10.1016/j.biortech.2014.09.021"
574,"title:Biochar improves heavy metal passivation during wet anaerobic digestion of pig manure,abstract:Environ Sci Pollut Res, doi:10.1007/s11356-020-10474-z"
575,"title:Biochar promotes methane production during anaerobic digestion of organic waste,abstract:Environmental Chemistry Letters, https://doi.org/10.1007/s10311-021-01251-6"
576,"title:Biochar utilisation in the anaerobic digestion of food waste for the creation of a circular economy via biogas upgrading and digestate treatment,abstract:Bioresource Technology, 333 (2021) 125190. doi:10.1016/j.biortech.2021.125190"
577,"title:Biochemical Methane Potential Assays for Organic Wastes as an Anaerobic Digestion Feedstock,abstract:The anaerobic digestion process is applied worldwide in the treatment of various organic wastes, allowing energy production from biogas and organic recovery from digested sludge. In the evaluation of suitable substrates for anaerobic digestion, Biochemical Methane Potential assays are the most applied, and, despite several efforts to standardize this method, it is observed that there are still several studies that do not apply all the criteria. This current paper’s main goal is to present a review of anaerobic feedstocks, BMP methodologies, experimental conditions, and results of specific methane production from 2008 to 2023. A wide range of anaerobic feedstocks was found, which was divided into five groups: animal manure, sludge, food wastes, energy crops, and other organic wastes. Several parameters were used to characterize the anaerobic feedstocks, like TS, VS, COD, and pH, displaying different value ranges. The number of publications concerning BMP assays increased significantly over the years until 2021, having stabilized in the last two years. This evolution allowed for several attempts to standardize the BMP method with positive developments, but there are still some gaps in the experimental conditions and the determination of specific methane production. All of this makes the comparison of some studies a challenge."
578,"title:Biodegradability of wastewater and activated sludge organics in anaerobic digestion,abstract:Water Research, 56 (2014) 267-279. doi:10.1016/j.watres.2014.02.008"
579,"title:Biodegradation and chemical precipitation of dissolved nutrients in anaerobically digested sludge dewatering centrate,abstract:Water Research, 96 (2016) 84-93. doi:10.1016/j.watres.2016.03.036"
580,"title:Biodiesel production from Scenedesmus bijuga grown in anaerobically digested food wastewater effluent,abstract:Bioresource Technology, 184 (2015) 215-221. doi:10.1016/j.biortech.2014.10.090"
581,"title:Bioelectrochemical assisted landfill technology for the stabilization and valorization of food waste anaerobic digestate,abstract:Bioresource Technology, 351 (2022) 126935. doi:10.1016/j.biortech.2022.126935"
582,"title:Bioelectrochemical enhancement of anaerobic digestion_ Comparing single- and two-chamber reactor configurations at thermophilic conditions,abstract:Bioresource Technology, 245 (2018) 1168-1175. doi:10.1016/j.biortech.2017.08.095"
583,"title:Bioelectrochemical enhancement of methane production from highly concentrated food waste in a combined anaerobic digester and microbial electrolysis cell,abstract:Bioresource Technology, 247 (2017) 226-233. doi:10.1016/j.biortech.2017.09.021"
584,"title:Bioelectrochemical enhancement of methane production in low temperature anaerobic digestion at 10&nbsp;&deg;C,abstract:Water Research, 99 (2016) 281-287. doi:10.1016/j.watres.2016.04.020"
585,"title:Bioelectrochemical enhancement of methane production in low temperature anaerobic digestion at 10&nbsp;&deg;C,abstract:Water Research, 99 (2016) 281-287. doi:10.1016/j.watres.2016.04.020"
586,"title:Bioelectrochemical Enhancement of Methanogenic Metabolism in Anaerobic Digestion of Food Waste Under Salt Stress Conditions,abstract:ACS Sustainable Chem. Eng. 2021.9:13526-13535"
587,"title:Bioelectrochemical enhancement of the anaerobic digestion of thermal-alkaline pretreated sludge in microbial electrolysis cells,abstract:Renewable Energy, 115 (2018) 1177-1183. doi:10.1016/j.renene.2017.06.043"
588,"title:Energy recovery from garden and park waste by hydrothermal carbonisation and anaerobic digestion,abstract:Waste Management, 140 (2022) 100-109. doi:10.1016/j.wasman.2022.01.003"
589,"title:Bioenergy from anaerobic digestion in Pakistan_ Potential, development and prospects,abstract:Renewable and Sustainable Energy Reviews, 59 + (2016) 264-275. doi:10.1016/j.rser.2016.01.010"
590,"title:Bioenergy from anaerobic digestion in Pakistan_ Potential, development and prospects,abstract:Renewable and Sustainable Energy Reviews, 59 + (2016) 264-275. doi:10.1016/j.rser.2016.01.010"
591,"title:Bioethanol fermentation as alternative valorization route of agricultural digestate according to a biorefinery approach,abstract:Bioresource Technology, 212 (2016) 289-295. doi:10.1016/j.biortech.2016.04.056"
592,"title:Biofilm formation and granule properties in anaerobic digestion at high salinity,abstract:Water Research, 121 (2017) 61-71. doi:10.1016/j.watres.2017.05.016"
593,"title:Biogas energy production from tropical biomass wastes by anaerobic digestion,abstract:BIORESOURCE TECHNOLOGY, 169 (2014) 38-44. doi:10.1016/j.biortech.2014.06.067"
594,"title:Biogas energy production from tropical biomass wastes by anaerobic digestion,abstract:BIORESOURCE TECHNOLOGY, 169 (2014) 38-44. doi:10.1016/j.biortech.2014.06.067"
595,"title:Biogas from anaerobic digestion of fruit and vegetable wastes: Experimental results on pilot-scale and preliminary performance evaluation of a full-scale power plant,abstract:Energy Conversion and Management, 77 (2014) 22-30. doi:10.1016/j.enconman.2013.09.004"
596,"title:Biogas from anaerobic digestion processes: Research updates,abstract:Renewable Energy, 98 (2016) 108-119. doi:10.1016/j.renene.2016.02.029"
597,"title:Biogas from anaerobic digestion processes: Research updates,abstract:Renewable Energy, 98 (2016) 108-119. doi:10.1016/j.renene.2016.02.029"
598,"title:The role of additives on anaerobic digestion_ A review,abstract:Renewable and Sustainable Energy Reviews, 58 + (2016) 1486-1499. doi:10.1016/j.rser.2015.12.094"
599,"title:Biogas from microalgae_ Review on microalgae's cultivation, harvesting and pretreatment for anaerobic digestion,abstract:Renewable and Sustainable Energy Reviews, 75 (2017) 692-709. doi:10.1016/j.rser.2016.11.045"
600,"title:Biogas production and microbial community properties during anaerobic digestion of corn stover at different temperatures,abstract:Bioresource Technology, 261 (2018) 93-103. doi:10.1016/j.biortech.2017.12.076"
601,"title:Biogas production and microbial community shift through neutral pH control during the anaerobic digestion of pig manure,abstract:Bioresource Technology, 217 (2016) 44-49. doi:10.1016/j.biortech.2016.02.077"
602,"title:Biogas production and microbial community shift through neutral pH control during the anaerobic digestion of pig manure,abstract:Bioresource Technology, 217 (2016) 44-49. doi:10.1016/j.biortech.2016.02.077"
603,"title:Biogas production from brewery spent grain as a mono-substrate in a two-stage process composed of solid-state anaerobic digestion and granular biomass reactors,abstract:Journal of Cleaner Production, 166 (2017) 519-529. doi:10.1016/j.jclepro.2017.07.197"
604,"title:Biogas production from brown grease using a pilot-scale high-rate anaerobic digester,abstract:Renewable Energy, 68 (2014) 304-313. doi:10.1016/j.renene.2014.01.046"
605,"title:Biogas production from chicken manure at different organic loading rates in a mesophilic full scale anaerobic digestion plant,abstract:Biomass and Bioenergy, 141 (2020) 105693. doi:10.1016/j.biombioe.2020.105693"
606,"title:Biogas production from small-scale anaerobic digestion plants on European farms,abstract:Renewable and Sustainable Energy Reviews, 139 (2021) 110580. doi:10.1016/j.rser.2020.110580"
607,"title:Biogas recovery by anaerobic digestion of Australian agro-industry waste: A review,abstract:Journal of Cleaner Production, 299 (2021) 126876. doi:10.1016/j.jclepro.2021.126876"
608,"title:Biogas recovery by anaerobic digestion of Australian agro-industry waste: A review,abstract:Journal of Cleaner Production, 299 (2021) 126876. doi:10.1016/j.jclepro.2021.126876"
609,"title:Biohydrogen production from anaerobic digestion and its potential as renewable energy,abstract:Renewable Energy, 129 (2018) 754-768. doi:10.1016/j.renene.2017.04.029"
610,"title:Biological conversion of carbon monoxide and hydrogen by anaerobic culture: Prospect of anaerobic digestion and thermochemical processes combination,abstract:Biotechnology Advances, 58 (2022) 107886. doi:10.1016/j.biotechadv.2021.107886"
611,"title:Biological nitrogen removal mechanisms during anaerobic digestion of swine manure: Effects of biogas circulation and activated carbon addition,abstract:Bioresource Technology, 374 (2023) 128766. doi:10.1016/j.biortech.2023.128766"
612,"title:Feasibility of anaerobic digestion from bioethanol fermentation residue,abstract:Bioresource Technology, 141 (2013) 177-183. doi:10.1016/j.biortech.2013.03.068"
613,"title:Biological pre-treated oil palm mesocarp fibre with cattle manure for biogas production by anaerobic digestion during acclimatization phase,abstract:International Biodeterioration & Biodegradation , 95 (2014) 189-194. doi:10.1016/j.ibiod.2014.06.014"
614,"title:Biological pretreatment enhances the activity of functional microorganisms and the ability of methanogenesis during anaerobic digestion,abstract:Bioresource Technology, 290 (2019) 121660. doi:10.1016/j.biortech.2019.121660"
615,"title:Biological saccharification coupled with anaerobic digestion using corn straw for sustainable methane production,abstract:Bioresource Technology, 367 (2023) 128277. doi:10.1016/j.biortech.2022.128277"
616,"title:Biological saccharification coupled with anaerobic digestion using corn straw for sustainable methane production,abstract:Bioresource Technology, 367 (2023) 128277. doi:10.1016/j.biortech.2022.128277"
617,"title:Biological strategies for enhanced hydrolysis of lignocellulosic biomass during anaerobic digestion_ Current status and future perspectives,abstract:Bioresource Technology, 245 (2018) 1245-1257. doi:10.1016/j.biortech.2017.08.089"
618,"title:Biomass resources and potential of anaerobic digestion in Indian scenario,abstract:Renewable and Sustainable Energy Reviews, 77 (2017) 718-730. doi:10.1016/j.rser.2017.04.053"
619,"title:Biomass retention on electrodes rather than electrical current enhances stability in anaerobic digestion,abstract:Water Research, 54 (2014) 211-221. doi:10.1016/j.watres.2014.01.044"
620,"title:Biomethane enhancement using reduced graphene oxide in anaerobic digestion of municipal solid waste,abstract:Bioresource Technology, 354 (2022) 127163. doi:10.1016/j.biortech.2022.127163"
621,"title:Biomethane potential of wine lees from mesophilic anaerobic digestion,abstract:Biochemical Engineering Journal, 196 (2023) 108954. doi:10.1016/j.bej.2023.108954"
622,"title:Biomethane recovery from olive mill residues through anaerobic digestion: A review of the state of the art technology,abstract:Science of the Total Environment, 703 (2020) 135508. doi:10.1016/j.scitotenv.2019.135508"
623,"title:Biorefinery of anaerobic digestate in a circular bioeconomy: Opportunities, challenges and perspectives,abstract:Renewable and Sustainable Energy Reviews, 166 (2022) 112642. doi:10.1016/j.rser.2022.112642"
